cod_ine,ccaa,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06
01,Andalucía,0,0,0,0,9,17,35,50,88,95,105,133,195,208,208,237,253,259,273,301,302,325,357,359,378,390,402,436,471,533,575,615,659,692,736,780,784,804,808,823,858,872,893,903,914,968,1004,1017,1043,1065,1089,1103,1112,1120,1159,1201,1232,1284,1346,1390,1438,1464,1495,1526,1552,1613,1651,1711,1769,1839,1899,1981,2041,2129,2195,2275,2339,2413,2497,2582,2652,2736,2818,2936,3030,3034
02,Aragón,0,0,5,6,22,35,61,69,84,96,96,96,106,110,120,134,134,142,148,157,172,180,196,202,204,213,229,236,241,244,254,264,264,278,298,313,332,341,346,362,369,374,379,393,400,411,417,424,430,438,438,442,443,453,453,456,460,466,474,481,481,484,498,498,519,525,525,547,565,578,588,600,609,617,617,628,635,653,669,687,695,718,741,764,786,790
03,Asturias,0,0,0,0,2,16,16,28,28,32,32,37,51,55,60,60,60,60,60,60,60,60,72,78,89,94,94,94,96,98,106,106,112,115,122,126,134,140,143,144,144,158,158,158,158,158,158,163,163,163,163,164,164,164,168,172,174,185,185,188,192,204,204,210,216,222,224,227,248,266,279,293,306,312,319,320,331,351,360,379,399,413,425,458,468,468
04,Baleares,0,0,13,13,22,24,28,34,44,47,47,47,51,55,64,75,79,84,88,95,102,102,104,104,112,112,112,114,120,125,133,134,134,134,136,139,142,142,146,146,151,154,154,161,161,161,161,161,165,171,176,181,181,183,183,189,195,195,195,195,195,195,195,209,211,220,225,231,237,239,249,249,251,251,251,251,251,255,265,272,272,274,277,277,278,279
05,Canarias,0,0,0,0,0,0,6,16,19,35,37,41,47,55,76,87,109,109,109,113,117,127,141,159,169,176,178,185,200,204,210,221,221,221,221,221,234,234,236,238,245,248,248,252,267,270,276,276,280,280,283,283,283,283,283,283,283,283,286,297,297,297,297,302,302,315,315,330,341,341,348,348,348,353,353,369,370,370,370,373,373,373,379,381,383,383
06,Cantabria,0,0,10,13,14,14,14,19,27,27,27,27,27,33,33,35,38,41,42,42,42,45,48,53,53,53,53,54,54,54,54,55,59,62,62,66,68,74,75,79,80,84,86,86,86,86,86,86,90,90,95,95,100,103,103,108,108,110,111,111,111,118,119,119,119,124,124,124,124,127,127,127,127,127,127,129,134,135,136,136,136,140,149,150,152,154
08,Castilla La Mancha,0,0,0,0,0,0,0,0,0,4,8,12,12,12,12,20,30,32,40,47,49,53,57,64,64,64,75,75,87,102,120,130,144,160,172,175,193,201,207,225,250,250,262,275,289,310,326,326,340,352,366,372,372,394,394,423,435,453,468,476,482,502,508,511,530,549,562,569,604,641,656,666,672,691,697,721,734,752,789,809,839,862,884,909,918,925
07,Castilla y León,0,0,2,2,2,2,2,2,11,14,14,14,14,24,52,76,76,76,86,90,90,90,91,95,96,104,115,115,117,129,149,161,174,176,178,200,204,211,211,227,237,257,257,276,286,294,306,307,319,343,345,357,369,385,399,430,430,453,469,479,479,495,513,528,540,549,583,597,627,645,671,694,727,743,759,779,789,814,822,864,885,918,944,983,1029,1032
09,Cataluña,0,0,16,27,37,63,91,117,132,156,176,198,202,224,234,261,261,261,261,278,284,291,297,311,315,327,327,338,352,394,421,421,455,474,488,501,509,535,535,543,548,556,563,567,573,573,593,597,597,614,636,641,651,651,677,723,743,810,842,857,879,919,945,979,1033,1081,1097,1152,1200,1256,1320,1403,1430,1452,1504,1544,1603,1657,1746,1829,1867,1929,2005,2008,2012,2012
18,Ceuta,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,6,6,6,6,6,6,7,7,8,9,10,12,14,16,16,16,18,20,20,21,21,22,25,27,27,27,27,27,27,29,29,29,29,29,29,31,34,34,34,34,34,36,39,40,40,40,41,41,42,42,42,42,43,43,44,45,45,47,48,50,52,54,55,60,63,63,64,67,67,70,70
